year	WROLD	USA	CHINA	UK	GERMANY	FRANCE	AUSTRALLA	JAPAN 	CANADA
2014	141	76	36	20	5	3	1	4	6
2015	236	118	47	57	7	6	4	5	6
2016	216	104	38	40	13	4	5	5	14
2017	317	134	58	49	29	16	11	13	15
2018	420	168	80	85	31	17	18	24	19
2019	663	270	106	130	53	27	37	34	20
2020	1031	357	234	181	84	49	52	51	38
2021	1396	439	360	259	98	58	57	63	43
2022	1554	398	481	260	125	75	78	65	45
2023	1818	452	494	221	132	66	68	70	69
2024*	878	163	207	88	57	39	18	24	15
total 	8670	2679	2141	1390	634	360	349	358	290
